period,time,HR,BR,activity,skin,ambulation,drink,drinkactivity,drinking,Positive,Negative,Fear,Hostility,Sadness
4/8/2015,20.1889,78,14,1086.731794,31.78480376,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1903,NaN,14,1087.977602,31.79897169,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1917,NaN,14,1088.170508,31.76608909,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1931,NaN,14,1087.144186,31.84777862,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1944,NaN,14,1086.185269,31.86787015,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1958,NaN,14,1085.210174,31.93734132,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1972,NaN,14,1081.302832,31.80524241,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1986,NaN,14,1072.567636,32.02884521,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2,NaN,15,1073.434354,31.62491214,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.2014,NaN,16,1067.988658,32.72556127,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.2028,NaN,16,1057.770516,34.22902527,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2042,NaN,16,1054.873574,33.94107345,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2056,NaN,15,1052.249915,33.76580974,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2069,NaN,15,1054.158239,33.03088902,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2083,NaN,15,1054.178907,33.26663212,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2097,74,14,1051.577227,33.17378366,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2111,85,14,1051.111099,33.33479504,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2125,74,14,1051.756819,33.26652826,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2139,74,14,1054.99336,33.27833522,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2153,74,14,1054.149723,33.1479766,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2167,74,14,1052.860096,33.22855945,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2181,74,15,1055.291482,33.13624147,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2194,74,15,1054.510821,33.26534003,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2208,74,15,1055.313924,33.04994447,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2222,74,15,1052.259454,33.62379054,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2236,74,15,1048.094728,34.42133954,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.225,74,15,1049.461673,34.25052426,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2264,74,16,1046.432367,34.19719222,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2278,74,16,1046.590721,33.77846587,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2292,74,17,1040.912869,33.98262818,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2306,74,17,1055.210862,33.72640406,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2319,84,17,1064.307454,33.59591028,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2333,74,16,1057.959854,33.542984,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2347,74,15,1058.645412,33.74995995,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2361,73,15,1059.285128,34.02646403,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2375,73,15,1063.387876,34.00019254,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2389,74,14,1060.74502,33.86018444,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2403,72,14,1054.729096,33.51078115,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2417,75,14,1052.417819,33.64173549,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2431,75,15,1053.69887,33.51941642,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2444,71,15,1053.988423,33.50300006,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2458,77,14,1051.575144,33.46022155,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2472,84,13,1054.535778,33.5708388,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2486,73,13,1072.412009,33.7085987,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.25,65,13,1078.728182,33.68923814,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2514,71,13,1076.539118,33.63426445,Stationary,0,0,0,0,0,0,0,0
